id,value
id_0,27.325
id_1,61.851
id_2,20.353
id_3,28.821
id_4,9.8156
id_5,36.373
id_6,39.611
id_7,16.031
id_8,47.611
id_9,33.331
id_10,38.783
id_11,58.518
id_12,36.820
id_13,41.703
id_14,26.402
id_15,12.648
id_16,52.003
id_17,23.240
id_18,19.528
id_19,20.177
id_20,15.299
id_21,28.541
id_22,37.304
id_23,9.9324
id_24,57.559
id_25,43.883
id_26,28.425
id_27,9.3256
id_28,29.615
id_29,35.979
id_30,18.949
id_31,12.141
id_32,16.912
id_33,7.3077
id_34,18.218
id_35,38.438
id_36,19.190
id_37,27.999
id_38,6.4815
id_39,59.467
id_40,47.067
id_41,16.506
id_42,49.235
id_43,18.637
id_44,43.621
id_45,51.117
id_46,61.039
id_47,40.114
id_48,50.653
id_49,41.547
id_50,30.256
id_51,25.148
id_52,40.509
id_53,25.518
id_54,38.011
id_55,39.966
id_56,24.789
id_57,21.992
id_58,37.004
id_59,31.029
id_60,15.637
id_61,23.090
id_62,31.422
id_63,54.722
id_64,49.162
id_65,26.247
id_66,41.188
id_67,54.307
id_68,27.804
id_69,38.717
id_70,64.306
id_71,52.874
id_72,43.734
id_73,11.280
id_74,12.561
id_75,36.353
id_76,60.269
id_77,3.1863
id_78,44.720
id_79,40.745
id_80,8.3937
id_81,22.574
id_82,7.1928
id_83,33.560
id_84,10.979
id_85,5.4671
id_86,16.281
id_87,11.794
id_88,13.326
id_89,28.553
id_90,30.363
id_91,10.977
id_92,13.976
id_93,7.5043
id_94,36.287
id_95,16.050
id_96,16.089
id_97,8.9218
id_98,11.104
id_99,4.2699
id_100,13.244
id_101,18.151
id_102,11.574
id_103,5.5341
id_104,13.865
id_105,36.939
id_106,27.260
id_107,7.8726
id_108,16.397
id_109,16.401
id_110,14.687
id_111,17.814
id_112,13.673
id_113,28.534
id_114,21.812
id_115,15.187
id_116,8.9557
id_117,44.949
id_118,29.364
id_119,1.5612
id_120,2.1012
id_121,10.715
id_122,15.940
id_123,15.475
id_124,6.8454
id_125,26.980
id_126,21.510
id_127,13.432
id_128,19.973
id_129,18.005
id_130,3.8733
id_131,35.935
id_132,14.310
id_133,26.351
id_134,23.321
id_135,21.252
id_136,10.196
id_137,19.841
id_138,77.423
id_139,63.639
id_140,27.635
id_141,17.494
id_142,25.048
id_143,8.6953
id_144,10.647
id_145,10.139
id_146,21.760
id_147,7.6598
id_148,13.924
id_149,17.169
id_150,51.581
id_151,21.741
id_152,24.308
id_153,15.959
id_154,14.655
id_155,27.502
id_156,21.922
id_157,33.839
id_158,3.6980
id_159,20.443
id_160,44.479
id_161,18.858
id_162,55.930
id_163,19.726
id_164,37.293
id_165,24.854
id_166,21.491
id_167,1.5966
id_168,66.410
id_169,17.770
id_170,18.076
id_171,68.281
id_172,20.951
id_173,2.7616
id_174,22.911
id_175,2.7675
id_176,6.6620
id_177,19.072
id_178,20.276
id_179,20.966
id_180,42.760
id_181,27.236
id_182,28.167
id_183,12.521
id_184,8.4133
id_185,41.547
id_186,37.344
id_187,33.373
id_188,16.686
id_189,21.790
id_190,15.400
id_191,15.171
id_192,33.060
id_193,77.350
id_194,29.166
id_195,11.787
id_196,60.721
id_197,15.520
id_198,19.329
id_199,23.355
id_200,124.83
id_201,26.625
id_202,58.139
id_203,5.1661
id_204,62.261
id_205,35.696
id_206,17.465
id_207,14.061
id_208,63.776
id_209,13.839
id_210,29.253
id_211,72.288
id_212,20.344
id_213,116.59
id_214,40.105
id_215,83.910
id_216,93.078
id_217,70.515
id_218,29.058
id_219,18.920
id_220,31.542
id_221,54.601
id_222,28.691
id_223,39.904
id_224,43.745
id_225,8.5679
id_226,3.7079
id_227,69.509
id_228,28.295
id_229,1.7207
id_230,39.848
id_231,15.451
id_232,21.663
id_233,8.4106
id_234,11.546
id_235,21.790
id_236,12.711
id_237,-0.188
id_238,21.317
id_239,1.2678
